scenario,jurisdiction,overall_status,auc_drop,psi,arr_live_min,default_rate_live
baseline,US_OCC,WARN,0.01496340477462288,0.46389764122873256,0.9790288529204786,0.3463333333333333
baseline,SG_MAS,FAIL,0.01496340477462288,0.46389764122873256,0.9790288529204786,0.3463333333333333
income_shock,US_OCC,WARN,0.01496340477462288,0.46389764122873256,0.9790288529204786,0.3463333333333333
income_shock,SG_MAS,FAIL,0.01496340477462288,0.46389764122873256,0.9790288529204786,0.3463333333333333
score_inflation,US_OCC,WARN,0.017223550768765583,0.7627353907740171,0.9790288529204786,0.3463333333333333
score_inflation,SG_MAS,FAIL,0.017223550768765583,0.7627353907740171,0.9790288529204786,0.3463333333333333
default_shock,US_OCC,WARN,-0.04979619445551908,0.46389764122873256,0.9790288529204786,0.392
default_shock,SG_MAS,FAIL,-0.04979619445551908,0.46389764122873256,0.9790288529204786,0.392
fairness_stress_sg,US_OCC,WARN,0.01496340477462288,0.46389764122873256,0.7511482881432255,0.3463333333333333
fairness_stress_sg,SG_MAS,FAIL,0.01496340477462288,0.46389764122873256,0.7511482881432255,0.3463333333333333
